timestamp,price,volume
2017-03-01T00,1190.8132055749145,192.53210141000005
2017-03-01T01,1192.4073796791447,172.08500760000004
2017-03-01T02,1194.4034883720929,80.07325075
2017-03-01T03,1192.6866417910453,194.36595261999997
2017-03-01T04,1191.891138211381,53.114690610000025
2017-03-01T05,1192.8194416243673,128.19957631999992
2017-03-01T06,1190.0790721649491,303.96321334000015
2017-03-01T07,1191.447876712328,131.26677810999996
2017-03-01T08,1192.9577922077935,134.89606232999998
2017-03-01T09,1193.5133793103448,80.49881798000006
2017-03-01T10,1195.3126717557245,170.05443662000002
2017-03-01T11,1200.9948598130852,686.0391760800001
2017-03-01T12,1207.341978319784,333.7720197400003
2017-03-01T13,1214.1591942446046,755.0246277200005
2017-03-01T14,1220.386032719837,431.22709380999964
2017-03-01T15,1222.9801724137963,736.991277350001
2017-03-01T16,1217.0094527363176,288.4560973700003
2017-03-01T17,1219.5613636363644,263.11949688
2017-03-01T18,1222.1637704918041,189.81084873999993
2017-03-01T19,1220.7614054054059,142.72175237999997
2017-03-01T20,1222.3196190476192,153.56956432
2017-03-01T21,1220.5594230769225,106.10296917999996
2017-03-01T22,1223.7354594594592,122.06184285
2017-03-01T23,1224.7206172839512,163.11916879
2017-03-02T00,1226.4163667232644,155.2570899500014
2017-03-02T01,1224.6397668393774,129.8319602499998
2017-03-02T02,1225.439312169312,81.56405542000002
2017-03-02T03,1225.2506849315073,147.21282918999987
2017-03-02T04,1220.5011508951427,227.38641816000006
2017-03-02T05,1222.5755319148946,90.33659079
2017-03-02T06,1221.5952459016394,144.60694646999994
2017-03-02T07,1223.5869871794878,101.34506772
2017-03-02T08,1227.0620529801324,191.32107607000003
2017-03-02T09,1230.987135678392,285.16213265
2017-03-02T10,1231.3321935483852,150.41825008999984
2017-03-02T11,1231.9604838709681,187.63851127000004
2017-03-02T12,1234.08793713163,352.75030413000013
2017-03-02T13,1237.239125,284.44672883000015
2017-03-02T14,1234.763429752066,457.56792851000006
2017-03-02T15,1246.4635454545457,762.1464912199992
2017-03-02T16,1254.8633012048176,611.7000686000002
2017-03-02T17,1268.6509923664125,455.41588057999974
2017-03-02T18,1267.0703125000032,988.3586885400002
2017-03-02T19,1265.7669310344834,328.77810604999974
2017-03-02T20,1267.5800355871863,205.05095921000003
2017-03-02T21,1254.4936772486776,966.5222840800006
2017-03-02T22,1254.9233207547172,294.23209568999965
2017-03-02T23,1261.626865671641,163.68197561000008
2017-03-03T00,1261.0360621761672,130.76886115000013
2017-03-03T01,1266.547341040462,87.61140523000002
2017-03-03T02,1267.753913043478,67.87654891
2017-03-03T03,1265.2259740259742,79.46040853000004
2017-03-03T04,1262.161834862386,163.0441791599999
2017-03-03T05,1260.8140845070427,262.40192469999994
2017-03-03T06,1257.8160330578517,82.10692386999999
2017-03-03T07,1267.094573170732,256.6454536800002
2017-03-03T08,1275.1348818897638,227.77090550000008
2017-03-03T09,1279.5342696629223,307.97676622999984
2017-03-03T10,1286.604386422976,759.5486846499998
2017-03-03T11,1287.23112021858,343.2383438500003
2017-03-03T12,1290.7323333333322,289.54968060999994
2017-03-03T13,1275.888245363767,1996.8492766399984
2017-03-03T14,1273.5165845070421,417.6185206399999
2017-03-03T15,1276.8842105263157,248.7022557999999
2017-03-03T16,1271.342318840578,207.54429474999972
2017-03-03T17,1264.36313186813,557.9107304399996
2017-03-03T18,1266.5911643835623,182.52756432
2017-03-03T19,1265.7614601769908,213.2331551900001
2017-03-03T20,1271.3315151515158,181.04221054999996
2017-03-03T21,1275.1992982456138,126.99621420999998
2017-03-03T22,1279.1563855421684,198.68720556999978
2017-03-03T23,1285.3179999999988,156.36568893999996
2017-03-04T00,1283.7412162162163,111.59514378000007
2017-03-04T01,1284.6227247579616,177.21187862
2017-03-04T02,1277.555333333335,213.19966361
2017-03-04T03,1278.4783157894738,78.98560006000004
2017-03-04T04,1278.9150000000002,48.384172389999975
2017-03-04T05,1279.9900990099022,80.93321731
